stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022021483150001,Kilberg,61.356592,16.411610,0,9021021483150000,A
9022021483150002,Kilberg,61.356673,16.411537,0,9021021483150000,B
9022021483152001,Korsnäsvägen,61.385313,16.388068,0,9021021483152000,A
9022021483152002,Korsnäsvägen,61.385161,16.387953,0,9021021483152000,B
9022021483154001,Lagmansvägen,61.361018,16.405227,0,9021021483154000,A
9022021483154002,Lagmansvägen,61.360928,16.405113,0,9021021483154000,B
9022021483155001,Nyhedsbacken,61.351287,16.372429,0,9021021483155000,A
9022021483155002,Nyhedsbacken,61.350415,16.374918,0,9021021483155000,B
9022021483157001,Mejeriet,61.337750,16.390231,0,9021021483157000,A
9022021483157002,Mejeriet,61.338608,16.389088,0,9021021483157000,B
9022021483160002,Norrlandsvägen,61.365811,16.394624,0,9021021483160000,B
9022021483161001,Prästnäset,61.318512,16.389817,0,9021021483161000,A
9022021483161002,Prästnäset,61.318995,16.390068,0,9021021483161000,B
9022021483162001,Rehnstedtska gården,61.352215,16.444513,0,9021021483162000,A
9022021483162002,Rehnstedtska gården,61.352744,16.442673,0,9021021483162000,B
9022021483163002,Renbron,61.356208,16.401098,0,9021021483163000,B
9022021483164001,Rengården,61.356406,16.407064,0,9021021483164000,A
9022021483164002,Rengården,61.356459,16.407122,0,9021021483164000,B
9022021483165002,Rens centrum,61.360595,16.421427,0,9021021483165000,B
9022021483166002,Renshammarvägen,61.355721,16.431668,0,9021021483166000,B
9022021483168001,Roosesvägen,61.370082,16.402951,0,9021021483168000,A
9022021483168002,Roosesvägen,61.370020,16.402931,0,9021021483168000,B
9022021483170001,Sandvägen,61.366053,16.403080,0,9021021483170000,A
9022021483170002,Sandvägen,61.365918,16.403059,0,9021021483170000,B
9022021483171001,Schenströmsplan,61.345873,16.385729,0,9021021483171000,A
9022021483173001,Bollnäs Sjukhuset,61.354369,16.362672,0,9021021483173000,A
9022021483173002,Bollnäs Sjukhuset,61.353484,16.364021,0,9021021483173000,B
9022021483173005,Bollnäs Sjukhuset,61.353798,16.361784,0,9021021483173000,E
9022021483174001,Sjölunds,61.353074,16.433540,0,9021021483174000,A
9022021483174002,Sjölunds,61.352867,16.433574,0,9021021483174000,B
9022021483175002,Bäverstigen,61.361156,16.383656,0,9021021483175000,B
9022021483176001,Gärdet,61.353616,16.388152,0,9021021483176000,A
9022021483176002,Gärdet,61.353571,16.388170,0,9021021483176000,B
9022021483177001,Stagårdsvägen,61.326919,16.383754,0,9021021483177000,A
9022021483177002,Stagårdsvägen,61.326351,16.384360,0,9021021483177000,B
9022021483178001,Stallbacken,61.344119,16.333959,0,9021021483178000,A
9022021483178002,Stallbacken,61.344128,16.336071,0,9021021483178000,B
9022021483180001,Sunnerstaholm,61.324127,16.386149,0,9021021483180000,A
9022021483180002,Sunnerstaholm,61.324172,16.386262,0,9021021483180000,B
9022021483181001,Sysslomansgatan,61.348616,16.378025,0,9021021483181000,A
9022021483181002,Sysslomansgatan,61.348920,16.378292,0,9021021483181000,B
9022021483182001,Solrosen,61.350580,16.380415,0,9021021483182000,A
9022021483182002,Solrosen,61.350651,16.380659,0,9021021483182000,B
9022021483183001,Bollnäs Sävsberg,61.343893,16.370091,0,9021021483183000,A
9022021483183002,Bollnäs Sävsberg,61.344001,16.372130,0,9021021483183000,B
9022021483184001,Torsbergsgymnasiet,61.348590,16.384135,0,9021021483184000,A
9022021483184002,Torsbergsgymnasiet,61.348314,16.385830,0,9021021483184000,B
9022021483185001,Åke Wassings väg,61.340942,16.342985,0,9021021483185000,A
9022021483185002,Åke Wassings väg,61.341298,16.343758,0,9021021483185000,B
9022021483187001,Tegelbruksvägen,61.377093,16.387990,0,9021021483187000,A
9022021483187002,Tegelbruksvägen,61.375458,16.388390,0,9021021483187000,B
9022021483188002,Tjädervägen,61.361200,16.432432,0,9021021483188000,B
